"Medelfolkmängd (efter födelseår) efter region, ålder, kön och år"

"region","ålder","kön","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"0114 Upplands Väsby","totalt ålder","män",18700.0,18873.0,19014.0,19162.5,19418.5,19796.5,20137.0,20464.0,20774.5,21100.5,21687.5
"0114 Upplands Väsby","totalt ålder","kvinnor",19036.0,19078.5,19137.5,19282.0,19546.5,19945.0,20321.5,20622.0,20858.0,21138.0,21588.5
"0115 Vallentuna","totalt ålder","män",13770.0,14054.0,14334.5,14561.5,14852.0,15201.5,15491.5,15718.0,15889.5,16056.0,16275.5
"0115 Vallentuna","totalt ålder","kvinnor",13862.5,14071.0,14333.5,14596.0,14885.5,15213.0,15473.5,15697.5,15903.0,16118.5,16307.0
"0117 Österåker","totalt ålder","män",18860.5,19035.0,19221.0,19469.5,19699.5,19876.5,20090.5,20312.0,20547.0,20953.0,21558.5
"0117 Österåker","totalt ålder","kvinnor",18747.0,19047.5,19282.0,19477.0,19647.5,19780.0,19940.0,20070.0,20290.5,20702.0,21153.0
"0120 Värmdö","totalt ålder","män",17852.0,18371.0,18787.0,19000.5,19240.0,19482.5,19739.0,19998.5,20307.5,20642.0,21008.0
"0120 Värmdö","totalt ålder","kvinnor",17516.0,17965.5,18336.0,18565.5,18788.5,19115.0,19401.5,19587.0,19855.0,20182.0,20545.5
"0123 Järfälla","totalt ålder","män",30770.5,31259.0,31779.5,32201.5,32692.5,33270.0,33797.0,34272.0,34942.5,35851.0,36901.0
"0123 Järfälla","totalt ålder","kvinnor",31272.0,31625.5,32111.5,32623.5,33060.5,33495.5,33968.0,34416.5,34991.5,35714.0,36519.5
"0125 Ekerö","totalt ålder","män",12058.5,12227.5,12336.5,12431.0,12591.5,12770.0,12973.0,13158.0,13330.5,13499.5,13694.5
"0125 Ekerö","totalt ålder","kvinnor",12097.0,12266.5,12396.5,12506.0,12661.0,12818.5,12990.5,13099.5,13196.0,13341.5,13500.5
"0126 Huddinge","totalt ålder","män",44452.0,45326.5,46430.0,47453.5,48360.5,49318.0,50318.5,51241.0,52028.5,52755.0,53721.5
"0126 Huddinge","totalt ålder","kvinnor",45014.0,45678.0,46588.0,47550.0,48265.0,48933.0,49711.0,50542.5,51342.5,51993.0,52703.0
"0127 Botkyrka","totalt ålder","män",38588.0,39283.0,39996.5,40624.5,41353.0,42348.0,43340.5,44117.5,44825.0,45356.5,45907.0
"0127 Botkyrka","totalt ålder","kvinnor",38484.5,39009.0,39546.5,40000.5,40548.5,41294.5,42135.0,42809.5,43415.5,43806.5,44143.0
"0128 Salem","totalt ålder","män",7140.5,7329.0,7440.0,7501.5,7572.5,7666.0,7778.0,7861.5,7942.0,8048.0,8161.5
"0128 Salem","totalt ålder","kvinnor",7384.0,7561.0,7681.0,7743.5,7779.5,7876.5,8009.5,8079.5,8128.5,8235.0,8359.0
"0136 Haninge","totalt ålder","män",36160.5,36696.5,37259.0,37937.5,38454.0,39018.0,39676.0,40393.0,41217.5,42028.0,42942.5
"0136 Haninge","totalt ålder","kvinnor",36236.0,36630.5,37074.0,37665.0,38191.5,38672.0,39202.0,39788.0,40452.0,41108.5,41837.0
"0138 Tyresö","totalt ålder","män",20527.0,20747.0,20984.5,21146.0,21323.5,21509.0,21711.5,21955.0,22369.5,22868.0,23318.0
"0138 Tyresö","totalt ålder","kvinnor",20778.0,21014.5,21205.0,21321.0,21451.0,21628.5,21834.5,22067.5,22466.0,22915.5,23322.0
"0139 Upplands-Bro","totalt ålder","män",10650.0,10880.0,11175.0,11440.0,11709.5,11929.0,12125.0,12299.5,12523.0,12808.5,13211.5
"0139 Upplands-Bro","totalt ålder","kvinnor",10832.5,11049.5,11276.5,11502.0,11729.5,11901.0,12043.5,12228.5,12472.0,12729.5,13060.5
"0140 Nykvarn","totalt ålder","män",4318.5,4461.5,4563.5,4644.0,4723.5,4752.5,4778.0,4834.5,4939.0,5118.5,5283.0
"0140 Nykvarn","totalt ålder","kvinnor",4163.0,4306.0,4417.0,4487.0,4555.5,4578.5,4608.5,4648.0,4730.0,4885.0,5025.0
"0160 Täby","totalt ålder","män",29923.5,30182.0,30479.0,30849.0,31263.5,31662.5,32094.0,32542.0,33034.0,33567.5,34140.5
"0160 Täby","totalt ålder","kvinnor",30876.5,31137.5,31470.5,31791.0,32138.0,32511.0,32867.0,33286.0,33779.0,34240.0,34693.0
"0162 Danderyd","totalt ålder","män",14691.0,14816.0,14882.5,14949.0,15080.5,15251.0,15398.0,15522.0,15664.0,15786.5,15917.0
"0162 Danderyd","totalt ålder","kvinnor",15668.0,15824.5,15937.5,16051.5,16159.5,16313.5,16481.5,16569.0,16594.5,16571.5,16620.0
"0163 Sollentuna","totalt ålder","män",29642.0,30171.0,30630.5,31186.0,31838.0,32468.0,33056.0,33616.0,34204.0,34741.5,35213.0
"0163 Sollentuna","totalt ålder","kvinnor",30299.5,30786.5,31111.5,31536.0,32150.5,32792.5,33319.0,33886.0,34531.0,35046.5,35424.0
"0180 Stockholm","totalt ålder","män",377296.0,384243.0,391693.5,400658.0,410214.5,419338.0,428424.0,437195.5,445388.5,452218.5,458427.0
"0180 Stockholm","totalt ålder","kvinnor",399665.5,404781.0,410948.0,419110.5,428030.5,436360.5,444355.5,452272.0,459456.0,465534.0,471140.5
"0181 Södertälje","totalt ålder","män",40631.0,41499.0,42322.0,42744.5,43167.0,43798.5,44643.5,45579.5,46324.0,46940.0,47680.0
"0181 Södertälje","totalt ålder","kvinnor",40541.0,41217.5,41875.5,42267.0,42591.0,43167.0,43935.5,44693.0,45329.5,45778.5,46236.5
"0182 Nacka","totalt ålder","män",39957.0,40973.5,41776.0,42760.0,43891.5,44786.5,45494.0,46225.5,47121.0,48052.5,48874.0
"0182 Nacka","totalt ålder","kvinnor",41377.0,42388.5,43206.0,44113.0,45205.0,46075.5,46750.5,47422.5,48199.0,49049.0,49798.5
